,Company,TypeName,Ram,OpSys,Weight,Touchscreen,IPS,PPI,Cpu_Name,HDD,SSD,Gpu brand
1114,Lenovo,2 in 1 Convertible,4,Others,0.69,1,1,224.1738090785728,Other Intel Processor,0,0,Intel
1115,Dell,Ultrabook,8,Windows,1.23,0,0,165.6321180513006,Intel Core i7,0,256,Intel
1116,Lenovo,Gaming,16,Windows,4.6,0,1,127.33567457123112,Intel Core i7,0,256,Nvidia
1117,Razer,Ultrabook,8,Windows,1.25,1,0,352.4651472131677,Intel Core i7,0,256,Intel
1118,Toshiba,Ultrabook,16,Windows,1.05,0,0,165.6321180513006,Intel Core i7,0,512,Intel
1119,Asus,Gaming,8,Windows,3.52,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia
1120,Vero,Notebook,4,Windows,1.35,0,0,165.6321180513006,Other Intel Processor,0,0,Intel
1121,HP,Notebook,8,Windows,1.16,0,0,165.6321180513006,Intel Core i5,0,256,Intel
1122,HP,Notebook,8,Windows,1.43,0,0,157.3505121487356,Intel Core i5,0,256,Intel
1123,Dell,Notebook,4,Linux,2.09,0,0,100.45466986113652,Intel Core i5,500,0,Intel
1124,Asus,Notebook,4,Windows,2.0,0,0,100.45466986113652,Intel Core i3,1000,0,Intel
1125,Lenovo,2 in 1 Convertible,8,Windows,1.8,1,1,157.3505121487356,Intel Core i7,0,256,Intel
1126,Lenovo,2 in 1 Convertible,4,Windows,0.69,1,1,224.1738090785728,Other Intel Processor,0,0,Intel
1127,HP,Ultrabook,8,Windows,1.26,0,0,125.36742798669836,Intel Core i5,0,256,Intel
1128,Lenovo,Gaming,8,Others,2.4,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia
1129,HP,Gaming,8,Windows,3.35,0,1,127.33567457123112,Intel Core i5,1000,128,Nvidia
1130,HP,Notebook,8,Windows,2.04,0,0,100.45466986113652,Intel Core i7,2000,0,Intel
1131,Lenovo,2 in 1 Convertible,8,Windows,1.8,1,1,157.3505121487356,Intel Core i7,0,512,Nvidia
1132,Asus,Notebook,4,Windows,1.5,0,0,111.93520355955212,Other Intel Processor,0,0,Intel
1133,HP,Ultrabook,8,Windows,1.84,0,0,141.21199808219862,Intel Core i7,0,256,Intel
1134,Acer,Notebook,4,Windows,2.23,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia
1135,Lenovo,Notebook,16,Windows,2.5,0,0,141.21199808219862,Intel Core i7,0,0,AMD
1136,HP,Workstation,8,Windows,3.0,0,1,127.33567457123112,Intel Core i7,0,256,Nvidia
1137,Dell,Notebook,8,Windows,2.5,0,0,100.45466986113652,Intel Core i5,1000,0,AMD
1138,MSI,Gaming,16,Windows,3.78,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia
1139,HP,Ultrabook,8,Windows,1.88,0,0,141.21199808219862,Intel Core i7,0,256,Intel
1140,Lenovo,2 in 1 Convertible,16,Windows,2.8,1,1,209.8006828649808,Intel Core i7,0,512,Intel
1141,MSI,Gaming,8,Windows,2.4,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia
1142,HP,2 in 1 Convertible,8,Windows,1.48,1,0,165.6321180513006,Intel Core i5,0,256,Intel
1143,HP,Workstation,8,Windows,2.59,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
1144,HP,2 in 1 Convertible,8,Windows,1.48,1,0,220.84282406840083,Intel Core i7,0,256,Intel
1145,HP,Workstation,8,Windows,2.0,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia
1146,HP,Ultrabook,8,Windows,1.26,0,0,176.23257360658386,Intel Core i7,0,256,Intel
1147,Dell,Notebook,8,Windows,2.18,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia
1148,HP,Notebook,8,Windows,1.88,0,0,141.21199808219862,Intel Core i5,0,256,Intel
1149,Lenovo,2 in 1 Convertible,8,Windows,1.27,1,1,209.8006828649808,Intel Core i7,0,256,Intel
1150,Lenovo,Notebook,4,Others,1.9,0,0,100.45466986113652,Intel Core i3,1000,0,Intel
1151,HP,Notebook,4,Windows,1.86,0,0,100.45466986113652,AMD Processor,500,0,AMD
1152,Lenovo,Notebook,8,Others,2.32,0,0,141.21199808219862,Intel Core i5,1000,0,AMD
1153,Dell,Gaming,8,Windows,2.62,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
1154,Dell,Notebook,8,Windows,2.04,1,1,282.42399616439724,Intel Core i5,0,256,Nvidia
1155,HP,Notebook,4,Windows,1.91,0,0,141.21199808219862,AMD Processor,0,256,AMD
1156,MSI,Gaming,16,Windows,2.7,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia
